venue,city,country
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,Sri Lanka
Mainpower Oval,Rangiora,New Zealand
Mainpower Oval,Rangiora,New Zealand
"Mainpower Oval, Rangiora",Rangiora,New Zealand
Malahide,Dublin,Ireland
"Malahide, Dublin",Dublin,Ireland
"Malek Cricket Ground, Ajman",Ajman,United Arab Emirates
Malkerns Country Club oval,Malkerns,Eswatini
Mangaung Oval,Bloemfontein,South Africa
"Mangaung Oval, Bloemfontein",Bloemfontein,South Africa
Mannofield Park,Aberdeen,Scotland
"Mannofield Park, Aberdeen",Aberdeen,Scotland
Manuka Oval,Canberra,Australia
"Manuka Oval, Canberra",Canberra,Australia
"Maple Leaf North-East Ground, King City",King City,Canada
Maple Leaf North-West Ground,King City,Canada
Maple Leaf North-West Ground,Toronto,Canada
"Maple Leaf North-West Ground, King City",King City,Canada
Maple Leaf South-West Ground,King City,Canada
"Mardyke, Cork",Cork,Ireland
"Marina Ground, Corfu",Corfu,Greece
Marrara Cricket Ground,Darwin,Australia
"Marrara Cricket Ground, Darwin",Darwin,Australia
"Marrara Stadium, Darwin",Darwin,Australia
Marsa Sports Club,Marsa,Malta
McLean Park,Napier,New Zealand
McLean Park,Napier,New Zealand
"McLean Park, Napier",Napier,New Zealand
"Meersen, Gent",Ghent,Belgium
Melbourne Cricket Ground,Melbourne,Australia
Melbourne Cricket Ground,Melbourne,Australia
Mercantile Cricket Association Ground,Colombo,Sri Lanka
Merchant Taylors' School Ground,Northwood,England
"Merchant Taylors' School Ground, Northwood",Northwood,England
Merrion Cricket Club Ground,Dublin,Ireland
"Merrion Cricket Club Ground, Dublin",Dublin,Ireland
"Millfield School, Street",Street,England
"Mission Road Ground, Mong Kok",Mong Kok,Hong Kong
"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Hong Kong
"Mitchells and Butlers' Ground, Birmingham",Birmingham,England
"Mladost Cricket Ground, Zagreb",Zagreb,Croatia
Moara Vlasiei Cricket Ground,Ilfov County,Romania
"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Romania
Molyneux Park,Alexandra,New Zealand
Molyneux Park,Alexandra,New Zealand
"Molyneux Park, Alexandra",Alexandra,New Zealand
Mombasa Sports Club Ground,Mombasa,Kenya
"Moors Sports Club Ground, Colombo",Colombo,Sri Lanka
"Moosa Cricket Stadium, Pearland",Pearland,United States of America
Morodok Techo National Stadium,Phnom Penh,Cambodia
Moses Mabhida Stadium,Durban,South Africa
Motibaug Cricket Ground,Vadodara,India
Mulpani Cricket Ground,Kathmandu,Nepal
Multan Cricket Stadium,Multan,Pakistan
Multan Cricket Stadium,Multan,Pakistan
Myreside,Edinburgh,Scotland
"N'Du Stadium, Noumea, New Caledonia",Noumea,New Caledonia
Nahar Singh Stadium,Faridabad,India
"Nahar Singh Stadium, Faridabad",Faridabad,India
"Namibia Cricket Ground, Windhoek",Windhoek,Namibia
Narayanganj Osmani Stadium,Fatullah,Bangladesh
Narendra Modi Stadium,Ahmedabad,India
"Narendra Modi Stadium Ground 'A', Motera",Ahmedabad,India
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,India
"Nassau County International Cricket Stadium, New York",New York,United States of America
National Cricket Stadium,St George's,Grenada
"National Cricket Stadium, Grenada",St George's,Grenada
"National Cricket Stadium, St George's",St George's,Grenada
"National Cricket Stadium, St George's, Grenada",St George's,Grenada
"National Sports Academy, Sofia",Sofia,Bulgaria
National Stadium,Hamilton,Bermuda
National Stadium,Karachi,Pakistan
"National Stadium, Hamilton",Hamilton,Bermuda
"National Stadium, Karachi",Karachi,Pakistan
"Navy Ground, Welisara",Welisara,Sri Lanka
Nehru Stadium,Guwahati,India
Nehru Stadium,Kochi,India
Nehru Stadium,Pune,India
Nehru Stadium,,India
"Nehru Stadium, Fatorda",Margao,India
"Nehru Stadium, Poona",Pune,India
Nelson Park,Napier,New Zealand
"Nelson Park, Napier",Napier,New Zealand
Nevill Ground,Tunbridge Wells,England
"Nevill Ground, Tunbridge Wells",Tunbridge Wells,England
"New Close County Cricket Ground, Newport, Isle-of-Wight",Newport,England
"New County Ground, Hove, Brighton",Brighton,England
"New Farnley CC, Leeds",Leeds,England
New Strabane Park,Strabane,Northern Ireland
New Wanderers Stadium,Johannesburg,South Africa
"New Wanderers Stadium, Johannesburg",Johannesburg,South Africa
New Williamfield No1 Oval,Stirling,Scotland
Newlands,Cape Town,South Africa
"Newlands, Cape Town",Cape Town,South Africa
"Niaz Stadium, Hyderabad",Hyderabad,Pakistan
"Nigeria Cricket Federation Oval 1, Abuja",Abuja,Nigeria
"Nigeria Cricket Federation Oval 2, Abuja",Abuja,Nigeria
"Niranjan Shah Stadium, Rajkot",Rajkot,India
Nondescripts Cricket Club Ground,Colombo,Sri Lanka
"Nondescripts Cricket Club Ground, Colombo",Colombo,Sri Lanka
North Dalton Park,Wollongong,Australia
"North Dalton Park, Wollongong",Wollongong,Australia
North Marine Road Ground,Scarborough,England
"North Marine Road Ground, Scarborough",Scarborough,England
North Sydney Oval,Sydney,Australia
North Sydney Oval No.2,Sydney,Australia
"North Sydney Oval, Sydney",Sydney,Australia
"North West Cricket Stadium, Potchefstroom",Potchefstroom,South Africa
North-West University No1 Ground,Potchefstroom,South Africa
Nuriootpa Centennial Park,Nuriootpa,Australia
OUTsurance Oval,Bloemfontein,South Africa
Oak Hill Cricket Club,Wicklow,Ireland
Oakham School Ground,Oakham,England
"Oakland Coliseum,Oakland",Oakland,United States of America
"Observatory Lane, Rathmines",Dublin,Ireland
"Observatory Lane, Rathmines, Dublin",Dublin,Ireland
Old Deer Park,Richmond,England
"Old Edwardians Cricket Club Ground, Solihull",Solihull,England
Old Hararians,Harare,Zimbabwe
Old Hararians Sports Club,Harare,Zimbabwe
"Old Hararians, Harare",Harare,Zimbabwe
Old Trafford,Manchester,England
"Old Trafford, Manchester",Manchester,England
Ovale di Rastignano,Pianoro,Italy
P Sara Oval,Colombo,Sri Lanka
"P Sara Oval, Colombo",Colombo,Sri Lanka
P Saravanamuttu Stadium,Colombo,Sri Lanka
Pallekele International Cricket Stadium,Pallekele,Sri Lanka
Pallekele International Cricket Stadium,Pallekele,Sri Lanka
Pallekele International Cricket Stadium,Pallekele,Sri Lanka
Panadura Esplanade,Panadura,Sri Lanka
"Park 25 No 2, Adelaide",Adelaide,Australia
"Pembroke Cricket Club, Sandymount",Dublin,Ireland
"Pembroke Cricket Club, Sandymount, Dublin",Dublin,Ireland
"Penrhyn Avenue, Rhos-on-Sea, Colwyn Bay",Colwyn Bay,Wales
Perth Stadium,Perth,Australia
Perth Stadium,Perth,Australia
Peter Burge Oval,Brisbane,Australia
Pierre Werner Cricket Ground,Walferdange,Luxembourg
Pokhara Rangasala,Pokhara,Nepal
"Police Park Ground, Colombo",Colombo,Sri Lanka
Prairie View Cricket Complex,Houston,United States of America
Prem Tinsulanonda International School,Chiang Mai,Thailand
Providence Stadium,Providence,Guyana
"Providence Stadium, Guyana",Providence,Guyana
Pukekura Park,New Plymouth,New Zealand
"Pukekura Park, New Plymouth",New Plymouth,New Zealand
Punjab Cricket Association IS Bindra Stadium,Mohali,India
"Punjab Cricket Association IS Bindra Stadium, Mohali",Mohali,India
"Punjab Cricket Association IS Bindra Stadium, Mohali",Mohali,India
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mohali,India
"Punjab Cricket Association Stadium, Mohali",Mohali,India
"Punjab Cricket Association Stadium, Mohali, Chandigarh",Mohali,India
Queen Elizabeth II Oval,Bendigo,Australia
Queen's Park,Chesterfield,England
Queen's Park,Invercargill,New Zealand
Queen's Park,,
"Queen's Park (New), St George's, Grenada",St George's,Grenada
Queen's Park Oval,Port of Spain,Trinidad and Tobago
"Queen's Park Oval, Port of Spain",Port of Spain,Trinidad and Tobago
"Queen's Park Oval, Port of Spain, Trinidad",Port of Spain,Trinidad and Tobago
"Queen's Park Oval, Trinidad",Port of Spain,Trinidad and Tobago
"Queen's Park, Chesterfield",Chesterfield,England
"Queen's Park, Invercargill",Invercargill,New Zealand
Queens Sports Club,Bulawayo,Zimbabwe
"Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe
Queenstown Events Centre,Queenstown,New Zealand
Queenstown Events Centre,Queenstown,New Zealand
R Premadasa Stadium,Colombo,Sri Lanka
"R Premadasa Stadium, Colombo",Colombo,Sri Lanka
R.Premadasa Stadium,Colombo,Sri Lanka
"R.Premadasa Stadium, Khettarama",Colombo,Sri Lanka
"Racecourse Ground, Derby",Derby,England
Radlett Cricket Club,Radlett,England
"Radlett Cricket Club, Radlett",Radlett,England
Rajiv Gandhi International Stadium,Hyderabad,India
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,India
Rangiri Dambulla International Stadium,Dambulla,Sri Lanka
Rangiri Dambulla International Stadium,Dambulla,Sri Lanka
Rawalpindi Cricket Stadium,Rawalpindi,Pakistan
Rawalpindi Cricket Stadium,Rawalpindi,Pakistan
"Ray Mitchell Oval, Harrup Park, Mackay",Mackay,Australia
"Reforma Athletic Club, Naucalpan",Naucalpan,Mexico
Reliance Cricket Stadium,Vadodara,India
Reliance Stadium,Vadodara,India
Riverside Ground,Chester-le-Street,England
"Riverside Ground, Chester-le-Street",Chester-le-Street,England
"Riverway Stadium, Townsville",Townsville,Australia
Roma Cricket Ground,Rome,Italy
"Rookwood, Sale",Sale,England
"Roseworth Terrace, Gosforth",Gosforth,England
"Royal Brunswick Ground, Hove, Brighton",Brighton,England
"Royal Brussels Cricket Club Ground, Waterloo",Waterloo,Belgium
Royal Chiangmai Golf Club,Chiang Mai,Thailand
Royal Chiangmai Golf Club,Chiang Mai,Thailand
Royal Selangor Club,Kuala Lumpur,Malaysia
"Royal Selangor Club, Kuala Lumpur",Kuala Lumpur,Malaysia
Ruaraka Sports Club Ground,Nairobi,Kenya
"Ruaraka Sports Club Ground, Nairobi",Nairobi,Kenya
Rugby School Ground,Rugby,England
SSN College Ground,Chennai,India
"Sabina Park, Jamaica",Kingston,Jamaica
"Sabina Park, Kingston",Kingston,Jamaica
"Sabina Park, Kingston, Jamaica",Kingston,Jamaica
San Albano,Buenos Aires,Argentina
Sano International Cricket Ground,Sano,Japan
Sano International Cricket Ground,Sano,Japan
Sano International Cricket Ground 2,Sano,Japan
Santarem Cricket Ground,Albergaria,Portugal
Sao Fernando Polo and Cricket Club,Seropedica,Brazil
"Sao Fernando Polo and Cricket Club, Campo Sede",Seropedica,Brazil
"Sardar Patel (Gujarat) Stadium, Motera",Ahmedabad,India
Sardar Patel Stadium,Ahmedabad,India
"Sardar Patel Stadium, Motera",Ahmedabad,India
Saurashtra Cricket Association Stadium,Rajkot,India
Saurashtra Cricket Association Stadium,Rajkot,India
"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,India
Sawai Mansingh Stadium,Jaipur,India
"Sawai Mansingh Stadium, Jaipur",Jaipur,India
Saxton Oval,Nelson,New Zealand
Saxton Oval,Nelson,New Zealand
"Saxton Oval, Nelson",Nelson,New Zealand
"Scott Page Field, Vinor",Prague,Czech Republic
Sea Breeze Oval,Hamilton,Bermuda
Sector 16 Stadium,Chandigarh,India
Sedbergh School,Sedbergh,England
Seddon Park,Hamilton,New Zealand
Seddon Park,Hamilton,New Zealand
"Seddon Park, Hamilton",Hamilton,New Zealand
Sedgars Park,Potchefstroom,South Africa
"Sedgars Park, Potchefstroom",Potchefstroom,South Africa
Seebarn Cricket Centre,Seebarn,Austria
"Seebarn Cricket Centre, Lower Austria",Seebarn,Austria
Selangor Turf Club,Kuala Lumpur,Malaysia
"Selangor Turf Club, Kuala Lumpur",Kuala Lumpur,Malaysia
Senwes Park,Potchefstroom,South Africa
"Senwes Park, Potchefstroom",Potchefstroom,South Africa
"Severn Cricket Field, Woodley Park",Los Angeles,United States of America
Shaheed Chandu Stadium,Bogra,Bangladesh
Shaheed Veer Narayan Singh International Stadium,Raipur,India
Shaheed Veer Narayan Singh International Stadium,Raipur,India
"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur,India
Sharad Pawar Cricket Academy BKC,Mumbai,India
Sharjah Cricket Association Stadium,Sharjah,United Arab Emirates
Sharjah Cricket Stadium,Sharjah,United Arab Emirates
Sharjah Cricket Stadium,Sharjah,United Arab Emirates
Sheikh Abu Naser Stadium,Khulna,Bangladesh
"Sheikh Abu Naser Stadium, Khulna",Khulna,Bangladesh
Sheikh Kamal International Cricket Stadium,Cox's Bazar,Bangladesh
Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates
Sheikh Zayed Stadium Nursery 1,Abu Dhabi,United Arab Emirates
Sheikh Zayed Stadium Nursery 2,Abu Dhabi,United Arab Emirates
"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates
Sheikhupura Stadium,Sheikhupura,Pakistan
Sher-e-Bangla National Cricket Stadium,Dhaka,Bangladesh
Shere Bangla National Stadium,Dhaka,Bangladesh
Shere Bangla National Stadium,Dhaka,Bangladesh
"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh
"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Gwalior,India
"Sikh Union Club Ground, Nairobi",Nairobi,Kenya
"Simar Cricket Ground, Rome",Rome,Italy
"Simonds Stadium, South Geelong",Geelong,Australia
"Simonds Stadium, South Geelong, Victoria",Geelong,Australia
Singapore Cricket Club,Singapore,Singapore
Singapore Cricket Club,Singapore,Singapore
Singapore National Cricket Ground,Singapore,Singapore
Sinhalese Sports Club,Colombo,Sri Lanka
Sinhalese Sports Club Ground,Colombo,Sri Lanka
"Sinhalese Sports Club Ground, Colombo",Colombo,Sri Lanka
"Sinovich Park, Sinoville",Pretoria,South Africa
Sir Paul Getty's Ground,Wormsley,England
"Sir Paul Getty's Ground, Wormsley",Wormsley,England
Sir Vivian Richards Stadium,North Sound,Antigua and Barbuda
"Sir Vivian Richards Stadium, Antigua",North Sound,Antigua and Barbuda
"Sir Vivian Richards Stadium, North Sound",North Sound,Antigua and Barbuda
"Sir Vivian Richards Stadium, North Sound",North Sound,Antigua and Barbuda
"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,Antigua and Barbuda
Skarpnack 1,Stockholm,Sweden
Skarpnack 2,Stockholm,Sweden
Sky Stadium,Wellington,New Zealand
"Sky Stadium, Wellington",Wellington,New Zealand
"Solvangs Park, Glostrup",Copenhagen,Denmark
Somerset Cricket Club,Somerset Village,Bermuda
Sophia Gardens,Cardiff,Wales
"Sophia Gardens, Cardiff",Cardiff,Wales
Southend Club Cricket Stadium,Karachi,Pakistan
"Southend Club Cricket Stadium, Karachi",Karachi,Pakistan
Sportpark Duivesteijn,Voorburg,Netherlands
"Sportpark Harga, Schiedam",Schiedam,Netherlands
Sportpark Het Schootsveld,Deventer,Netherlands
Sportpark Het Schootsveld 2,Deventer,Netherlands
"Sportpark Het Schootsveld, Deventer",Deventer,Netherlands
Sportpark Maarschalkerweerd,Utrecht,Netherlands
"Sportpark Maarschalkerweerd, Utrecht",Utrecht,Netherlands
Sportpark Thurlede,Schiedam,Netherlands
Sportpark Westvliet,The Hague,Netherlands
"Sportpark Westvliet, The Hague",The Hague,Netherlands
"Sportpark Westvliet, Voorburg",The Hague,Netherlands
"Spytty Park, Newport",Newport,Wales
Sri Lanka Army Ordnance Corps International Cricket Stadium,Kalutara,Sri Lanka
Sri Ramachandra Medical College,Chennai,India
St  Pauls college ground  Kalamassery,Kalamassery,India
"St Albans Club, Buenos Aires",Buenos Aires,Argentina
"St George's College Ground, Buenos Aires",Buenos Aires,Argentina
St George's Park,Port Elizabeth,South Africa
"St George's Park, Gqeberha",Gqeberha,South Africa
"St George's Park, Port Elizabeth",Gqeberha,South Africa
"St George's Park, Port Elizabeth",Gqeberha,South Africa
St Georges Quilmes,Quilmes,Argentina
"St Helen's, Swansea",Swansea,Wales
St Lawrence Ground,Canterbury,England
"St Lawrence Ground, Canterbury",Canterbury,England
St'Xavier's KCA Cricket Ground,Thiruvananthapuram,India
Stadium Australia,Sydney,Australia
"Stanley Park, Blackpool",Blackpool,England
Star Stile,Halstead,England
"Stars Arena Hofstade, Zemst",Zemst,Belgium
Stellenbosch University 1,Stellenbosch,South Africa
Stellenbosch University 2,Stellenbosch,South Africa
Strathfieldsaye,Bendigo,Australia
"Stubberudmyra Cricket Ground, Oslo",Oslo,Norway
Subrata Roy Sahara Stadium,Pune,India
Sulabiya Ground,Kuwait City,Kuwait
"Sunrise Sports Club, Harare",Harare,Zimbabwe
SuperSport Park,Centurion,South Africa
"SuperSport Park, Centurion",Centurion,South Africa
"Surrey Village, Maggona",Maggona,Sri Lanka
"Svanholm Park, Brondby",Brondby,Denmark
Sydney Cricket Ground,Sydney,Australia
Sydney Cricket Ground,Sydney,Australia
Sydney Parade,Dublin,Ireland
Sydney Showground Stadium,Sydney,Australia
Sydney Showground Stadium,Sydney,Australia
Sylhet International Cricket Stadium,Sylhet,Bangladesh
Sylhet International Cricket Stadium,Sylhet,Bangladesh
"Sylhet International Cricket Stadium, Academy Ground",Sylhet,Bangladesh
Sylhet Stadium,Sylhet,Bangladesh
Sylhet Stadium,Sylhet,Bangladesh
T I Murugappa Ground,Chennai,India
"TCA Oval, Blantyre",Blantyre,Malawi
Tack-Tec Ground,Kuwait City,Kuwait
Tafawa Balewa Square (TBS) Cricket Oval,Lagos,Nigeria
Tafawa Balewa Square Cricket Oval,Lagos,Nigeria
"Tafawa Balewa Square Cricket Oval, Lagos",Lagos,Nigeria
Takashinga Sports Club,Harare,Zimbabwe
"Takashinga Sports Club, Highfield, Harare",Harare,Zimbabwe
"Taunton Vale Sports Club Ground, Taunton",Taunton,England
Ted Summerton Reserve,Moe,Australia
"Ted Summerton Reserve, Moe",Moe,Australia
Terdthai Cricket Ground,Bangkok,Thailand
"Terdthai Cricket Ground, Bangkok",Bangkok,Thailand
Thailand Cricket Ground,Bangkok,Thailand
The Cooper Associates County Ground,Taunton,England
"The Cooper Associates County Ground, Taunton",Taunton,England
"The Cricket Field, Sedbergh School",Sedbergh,England
"The Gnoll, Neath",Neath,Wales
"The Green, Comber",Comber,Northern Ireland
The Hills Cricket Club Ground,Dublin,Ireland
"The Hills, Milverton",Milverton,Ireland
"The John Fretwell Sporting Complex, Nettleworth",Nettleworth,England
"The John Fretwell Sporting Complex, Sookholme",Sookholme,England
The Kent County Cricket Ground,Beckenham,England
"The Lawn, Waringstown",Waringstown,Northern Ireland
The Padang,Singapore,Singapore
The Rose Bowl,Southampton,England
The Rose Bowl (Nursery),Southampton,England
"The Rose Bowl, Southampton",Southampton,England
"The Royal & Sun Alliance County Ground, Bristol",Bristol,England
"The Saffrons, Eastbourne",Eastbourne,England
"The Village, Malahide",Dublin,Ireland
"The Village, Malahide, Dublin",Dublin,Ireland
The Vineyard,Dublin,Ireland
"The Vineyard, Dublin",Dublin,Ireland
The Wanderers Stadium,Johannesburg,South Africa
"The Wanderers Stadium, Johannesburg",Johannesburg,South Africa
"Three Ws Oval, Cave Hill, Barbados",Cave Hill,Barbados
"Thurstan College Ground, Colombo",Colombo,Sri Lanka
Tikkurila Cricket Ground,Vantaa,Finland
Titwood,Glasgow,Scotland
"Titwood, Glasgow",Glasgow,Scotland
Tolerance Oval,Abu Dhabi,United Arab Emirates
"Tolerance Oval, Abu Dhabi",Abu Dhabi,United Arab Emirates
Tony Ireland Stadium,Townsville,Australia
"Tony Ireland Stadium, Townsville",Townsville,Australia
"Toronto Cricket, Skating and Curling Club",Toronto,Canada
Traeger Park,Alice Springs,Australia
"Traeger Park, Alice Springs",Alice Springs,Australia
"Trafalgar Road Ground, Southport",Southport,England
Trent Bridge,Nottingham,England
"Trent Bridge, Nottingham",Nottingham,England
Tribhuvan University International Cricket Ground,Kirtipur,Nepal
"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal
Turf City B Cricket Ground,Singapore,Singapore
UKM Cricket Oval,Bandar Kinrara,Malaysia
UKM-YSD Cricket Oval,Bangi,Malaysia
"UKM-YSD Cricket Oval, Bangi",Bangi,Malaysia
Udayana Cricket Ground,Bali,Indonesia
United Cricket Club Ground,Windhoek,Namibia
"United Cricket Club Ground, Windhoek",Windhoek,Namibia
University Oval,Dunedin,New Zealand
"University Oval, Dunedin",Dunedin,New Zealand
"University Oval, Hobart",Hobart,Australia
University of Dar-es-Salaam Ground,Dar-es-Salaam,Tanzania
University of Doha for Science and Technology,Doha,Qatar
University of Lagos Cricket Oval,Lagos,Nigeria
University of Otago Oval,Dunedin,New Zealand
"University of Tasmania Stadium, Launceston",Launceston,Australia
Uxbridge Cricket Club Ground,Uxbridge,England
Uxbridge Cricket Club Ground,Uxbridge,England
VCA Ground,Nagpur,India
VRA Cricket Ground,Amstelveen,Netherlands
VRA Ground,Amstelveen,Netherlands
"VRA Ground, Amstelveen",Amstelveen,Netherlands
Vanuatu Cricket Ground,Port Vila,Vanuatu
Vanuatu Cricket Ground (Oval 2),Port Vila,Vanuatu
"Vassil Levski National Sports Academy, Sofia",Sofia,Bulgaria
"Velden Cricket Ground, Latschach",Latschach,Austria
Vidarbha C.A. Ground,Nagpur,India
Vidarbha Cricket Association Ground,Nagpur,India
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Nagpur,India
W.A.C.A. Ground,Perth,Australia
Wanderers,Windhoek,Namibia
Wanderers Cricket Ground,Windhoek,Namibia
"Wanderers Cricket Ground, Windhoek",Windhoek,Namibia
Wankhede Stadium,Mumbai,India
Wankhede Stadium,Mumbai,India
"Wankhede Stadium, Mumbai",Mumbai,India
"Warner Park, Basseterre",Basseterre,Saint Kitts and Nevis
"Warner Park, Basseterre",Basseterre,Saint Kitts and Nevis
"Warner Park, Basseterre, St Kitts",Basseterre,Saint Kitts and Nevis
"Warner Park, St Kitts",Basseterre,Saint Kitts and Nevis
Waverley Oval,Sydney,Australia
Welagedara Stadium,Kurunegala,Sri Lanka
"Welagedara Stadium, Kurunegala",Kurunegala,Sri Lanka
Welbeck Abbey Cricket Ground,Welbeck,England
"Welbeck Colliery Cricket Club Ground, Market Warsop",Market Warsop,England
West End Park International Cricket Stadium,Doha,Qatar
"West End Park International Cricket Stadium, Doha",Doha,Qatar
West Mersea Cricket Club,Colchester,England
West Park Oval,Burnie,Australia
Western Australia Cricket Association Ground,Perth,Australia
"Western Australia Cricket Association Ground, Perth",Perth,Australia
"Westpac Park, Hamilton",Hamilton,New Zealand
Westpac Stadium,Wellington,New Zealand
Westpac Stadium,Wellington,New Zealand
"Westpac Stadium, Wellington",Wellington,New Zealand
"White Hill Field, Sandys Parish",Hamilton,Bermuda
White Hills Oval,Bendigo,Australia
"Whitegate Park, Blackpool",Blackpool,England
Willowmoore Park,Benoni,South Africa
Willowmoore Park A Field,Benoni,South Africa
Willowmoore Park B Field,Benoni,South Africa
Willowmoore Park C Field,Benoni,South Africa
"Willowmoore Park, Benoni",Benoni,South Africa
"Windsor Park, Roseau",Roseau,Dominica
"Windsor Park, Roseau, Dominica",Roseau,Dominica
"Wong Cricket Field, Woodley Park",Los Angeles,United States of America
"Woodbridge Road, Guildford",Guildford,England
"Woodley Cricket Field, Los Angeles",Los Angeles,United States of America
"Woodvale Road, Eglinton",Eglinton,Northern Ireland
"Wright Cricket Field, Woodley Park",Los Angeles,United States of America
YMCA Cricket Club,Dublin,Ireland
"YSD-UKM Cricket Oval, Bangi",Bangi,Malaysia
Yeonhui Cricket Ground,Incheon,South Korea
"Yeonhui Cricket Ground, Incheon",Incheon,South Korea
York Cricket Club,York,England
Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh
Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh
"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Bangladesh
"Zahur Ahmed Chowdhury Stadium, Chittagong",Chattogram,Bangladesh
Zayed Cricket Stadium,Abu Dhabi,United Arab Emirates
"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates
Zhejiang University of Technology Cricket Field,Hangzhou,China
Zohur Ahmed Chowdhury Stadium,Chattogram,Bangladesh
